CMS CODE,RO NAME,Zone,MOBILE NO,EMAIL IDS,ADDRESS 
56102XA102,Sri Venkata Sai Filling Station,South II,9966111114, bandammahesh@yahoo.co.in," Survey No:426/B,C,D,  Arepally Village, Vemulawada Mandal, Siricilla Siricilla 502246"
56464XA464,KKK Fuels,South I,9443262572, KKKfuels@yahoo.com," 321/1A, A.Redihalli Village, Dharmapuri Taluka, Dharmapuri Dharmapuri 636809"
56219XA219,Nadeem Filling Station,South II,9876567894, nadeemfillingstation@gmail.com," S.No17/2/,18,Akkampalli Village, T.Sundupalli, Mandal, Kadapa Kadapa 516130"
56022XA022,Seena Fuels,South I,9447646101, sadiquevs@gmail.com," Sy No.250/7,Market Road.Palliport P O, KuzhupillyVillage, Kochi Taluk, Ernakulam Ernakulam 683515"
56114XA114,ABS Agencies,South I,9944160430, Alavudeen1467@gmail.com," Survey No.377/7A, Siruvachur Village, Perambalur Taluk & district, Perambalur Perambalur 621113"
56290XA290,V.S.Yuvassree Agencies,South I,9092034560, Cdmvaithi9@gmail.com," Survey No.92/1,92/2,92/3, Kalaiyur Village, Gingee Taluk, Villupuram Villupuram 604206"
56460XA460,Kamuru Agency,South I,9994924634, Iobjafar78@gmail.com," Survey No : 447/C1A, Andiyagoundanur Village, Tirupur Tirupur 642154"
56248XA248,Arunjhothi Agencies,South I,7373122266, Jhothiarun123@gmail.com," S.No.72/5B2, Okkoor Village, Avudayarkovil Taluk, Pudukkottai Pudukkottai 614618"
51529NA529,Jai Sundar Mata Petrol Pump,West III,8432751938, jsmpp.rajpura@gmail.com," Khasra No.505/2,Village Rajpura, Tehsil-Sawar, Ajmer Ajmer 305407"
56498XA498,M.B.G Fuels,South I,9443599007, mbgbros@gmail.com," Survey No:207/1A1, Odayandahalli Village, Krishnagiri Krishnagiri 635116"
55810XA810,GCS Agency,South I,9787665836, Mohan136raj@yahoo.com," Sy No115/1A2, 115/2B, 115/3B, Chinnakadambur Village, Tiruttani Tk Thiruvallur Thiruvallur 631211"
51649NA649,Rajdhani Auto Agency,West III,9649494748, pankajjain934@gmail.com," Khasra No.1753/1355 & 1752/1356, Village–Mithari,Tehsil–Nawa, Nagaur Nagaur 341509"
56139XA139,Raajam Fuels,South I,9443409790, raajamfuels@gmail.com," S. No.131/2A1A1 & 2A1B, Vellalpatty Village,Omalur Taluk, Salem Salem 636012"
51644NA644,Nimbark Petroleum,West III,9829688902, rajubarala02@gmail.com," Khasra No.13/4, Village-Tityari, Tehsil-Roopangarh, Ajmer Ajmer 305801"
56303XA303,KSK Traders,South I,9629019596, ramansuresh55@yahoo.com," Survey No.398/14, Sikkathambur Village, Thuraiyur Taluk, Trichy Trichy 621008"
56407XA407,Sri Sasthaa Agencies,South I,9025122555, ramesh11the@gmail.com," S:No:34/5A, Thiruvengadam Village, Thiruvengadam Taluk, Tirunelveli Tirunelveli 627719"
56123XA123,Samy Agency,South I,8838780812, Rampharma2@gmail.com," Survey No: 14/2E7, Arunarai Village, Perambalur Taluka & District, Perambalur Perambalur 621107"
56454XA454,Mathura Petro Fuels,South I,8903423980, ravindrankov@gmail.com," SF No. 220/1J,Erode Road, Nasiyanur 'A' Village, Erode Erode 638107"
51820NA820,Shree Yadav Filling Station,West III,9772880111, shreeyadavfillingstationessar@gmail.com," Khasra No.2481/3 & 2481/3679/2, Village - Ramgarh, Ajmer Ajmer 305624"
56099XA099,S.K.S Agencies,South I,7598573151, sksagencies123@gmail.com," 467/9 & 472/2, Kuppur Village, Dharmapuri Taluk and District, Dharmapuri Dharmapuri 636704"
